id,name,description,price
552,Sony Turntable - PSLX350H,Sony Turntable - PSLX350H/ Belt Drive System/ 33-1/3 and 45 RPM Speeds/ Servo Speed Control/ Supplied Moving Magnet Phono Cartridge/ Bonded Diamond Stylus/ Static Balance Tonearm/ Pitch Control,
580,Bose Acoustimass 5 Series III Speaker System - AM53BK,Bose Acoustimass 5 Series III Speaker System - AM53BK/ 2 Dual Cube Speakers With Two 2-1/2' Wide-range Drivers In Each Speaker/ Powerful Bass Module With Two 5-1/2' Woofers/ 200 Watts Max Power/ Black Finish,$399.00 
4696,Sony Switcher - SBV40S,Sony Switcher - SBV40S/ Eliminates Disconnecting And Reconnecting Cables/ Compact Design/ 4 A/V Inputs With S-Video Jacks/ 1 A/V Output With S-Video (Y/C)Jack/ 2 Audio Output,$49.00 
5644,Sony 5 Disc CD Player - CDPCE375,Sony 5 Disc CD Player- CDPCE375/ 5 Disc Changer/ Variable Line Output/ CD-R/RW Playback Capability/ 20 Track Music Calendar/ Digital Servo Control/ Remote Commander Remote Control,
6284,Bose 27028 161 Bookshelf Pair Speakers In White - 161WH,Bose 161 Bookshelf Speakers In White - 161WH/ Articulated Array Speaker Design/ High-Excursion Twiddler Drivers/ Magnetically Shielded/ Priced Per Pair/ White Finish,$158.00 
6493,Denon Stereo Tuner - TU1500RD,Denon Stereo Tuner - TU1500RD/ RDS Radio Data System/ AM-FM 40 Station Random Memory/ Rotary Tuning Knob/ Dot Matrix FL Display/ Optional Remote,$375.00 
6726,KitchenAid Pasta Roller And Cutter - KPRA,KitchenAid Pasta Roller And Cutter - KPRA/ One Pasta Roller/ Two Pasta Cutters/ Cleaning Brush/ Chrome Finish,
6742,Panasonic Yeast Pro Automatic Breadmaker - SDYD250,Panasonic Yeast Pro Automatic Breadmaker - SDYD250/ Patented Yeast Dispenser/ 2.5 lb To 1.5 lb Loaf/ Choice Of Bread And Baking Modes/ 13 Hour Countdown Digital Timer/ Nonstick Coating For Easy Cleanup,
7195,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10/ Clip On Style/ 13.5 MM Driver Unit/ Blue Finish,
7783,Panasonic 2-Line Integrated Telephone - KXTSC14W,Panasonic 2-Line Integrated Telephone - KXTSC14W/ Call Waiting/ 50-Station Caller ID/ Voice Mail Message-Waiting Indicator/ Speakerphone/ 3-Line LCD Display/ White Finish,
7936,Panasonic Integrated Telephone System - KXTS108W,Panasonic Integrated Telephone System - KXTS108W/ 16 Digit LCD With Clock/ Hands Free Speakerphone/ Built-In Data Port/ 10-Station One-Touch Dialing/ 3-Step Ringer Volume/ White Finish,$44.00 
8060,Panasonic 2-Line Integrated Telephone System - KXTS208W,Panasonic 2-Line Integrated Telephone System - KXTS208W/ 3-Way Conference/ One-Touch/Speed Dialer/ Speakerphone/ White Finish,
8552,Sony 300 Disc CD Changer - CDPCX355,Sony 300 Disc CD Changer - CDPCX355/ MegaStorage Control/ CD-R/CD-RW Playback/ 32 Step Program Play/ Control A1 II/ Custom File Memo/ CD Text/ Keyboard Input/ 2 Jog Dials/ Remote Control/ Black Finish,
9071,Sony 400 Disc MegaStorage CD Changer - CDPCX455,Sony 400 Disc MegaStorage CD Changer - CDPCX455/ MP3 Playback Capability/ CD-R/CD-RW Playback/ Twin Jog Dial For Easy Disc Access/ MegaChanger Control/ Optical Digital Output/ Keyboard Input/ Remote Commander® Remote Control,
9312,Panasonic Hands-Free Headset - KXTCA86,Panasonic Hands-Free Headset - KXTCA86/ Comfort Fit And  Fold Design/ Noise Cancelling Microphone/ Standard 2.5mm Connection,$14.95 
9314,Panasonic Hands Free Headset  - KXTCA92,Panasonic Hands Free Headset - KXTCA92/ Comfort Fit With Fold Design/ Noise Cancelling Microphone/ Volume Control/ Mute/ Standard 2.5mm Connection,$25.00 
9355,Cuisinart Convection-Oven-Toaster-Broiler With Exact Heat Sensor - TOB165WH,Cuisinart Convection-Oven-Toaster-Broiler With Exact Heat Sensor - TOB165WH/ 0.5 Cubic Foot Oven Capacity/ LED Indicators/ Individual Or Combination Settings/ Always Even Shade Control/ 4 Hour Automatic Shut Off/ Slide-Out Crumb Tray/ Includes Broiling Pan/ White Finish,$149.00 
9546,Frigidaire 24' White Built-In Dishwasher - FDB130WH,Frigidaire 24' FDB130RGS White Built-In Dishwasher - FDB130WH/ Convection Drying System/ QuietSound Sound Insulation Package/ 2 Wash Levels/ Adjustable Rinse Aid Dispenser/ Self Cleaning Filter/ White Finish,$229.00 
9646,Cuisinart Cordless Electric Kettle - KUA17,Cuisinart Cordless Electric Kettle - KUA17/ 1-3/4 Quart Capacity/ Automatic Shut-Off/ Indicator Light/ Splash Guard Spout/ Cord Storage In Base/ Chrome Finish,$70.00 
10101,Omnimount Wall Speaker Mount - 20WLBK,Omnimount Wall Speaker Mount - 20WLBK/ Stainless Steel Shafts And All Necessary Hardware Included/ Supports Speakers Up To 20 lbs./ Sold As Single / Black Finish,$39.95 
10102,Omnimount Wall Speaker Mount - 20WLWH,Omnimount Wall Speaker Mount - 20WLWH/ Stainless Steel Shafts And All Necessary Hardware Included/ Supports Speakers Up To 20 lbs./ Sold as each / White Finish (Photo Showing Black),$40.00 
10640,Denon Semi-Automatic Turntable - Black Finish - DP29F,Denon Semi-Automatic Turntable - DP29F/ Metal Platter/ Built-In RIAA Equalizer/ DC Servo Motor/ 2 Speed 33 + 45 RPM/ Built-In Phono PreAmp,$150.00 
